,DL_2011,DL_2020,EXTPASSPORTBIO_2007,EXTPASSPORT_2003,INTPASSPORT_1997,INTPASSPORT_2011,SNILS_1996
AMD Ryzen 7 5800H with Radeon Graphics,0.768,0.628,0.432,0.423,0.58,0.649,0.762
Intel(R) Core(TM) i5-10600K CPU @ 4.10GHz,0.517,0.564,0.401,0.419,0.493,0.547,0.589
Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,1.886,1.962,1.34,1.54,1.815,1.975,2.052
